关键词,微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
生成式AI,5273062563906027,MicroLED CPO引爆数据中心革命！或成数据中心降能耗终极方案！事件：TrendForce最新报告指出，生成式AI狂潮下，数据中心高速传输需求增，传统铜缆因高耗能、高密度瓶颈难以为继。而MicroLED CPO方案凭借单位传输能耗仅铜缆5%的碾压级优势，将重塑光互连格局，开启数据中心节能新纪元！ ,,无,,,Thu Mar 05 10:59:07 +0800 2026,投资内容创作者 微博原创视频博主 头条文章作者,84,3,5
生成式AI,5273090357202238,早上都加自选了吧，后面自己贴五日线看吧，新玩意，想象空间非常大，后面看情况再发一下#a股行情# 2026年3月4日，媒体讯，根据TrendForce集邦咨询最新调查，随着生成式AI兴起，数据中心对高速传输的需求持续提升，原先应用在机柜内(ntra-Rack)短距传输的铜缆方案，将在传输密度与节能上面临严峻挑战 ...全文,,无,,,Thu Mar 05 12:49:33 +0800 2026,财经博主,115,14,45
生成式AI,5272390223272163,暴言一句，热衷于生成式ai的一般用户是最没资格抱怨内存显卡暴涨的，就是你们这帮狂热的sb天天烧token制造海量赛博垃圾，间接把硬件炒贵的，有一种凶手返回犯罪现场装路人的美。 ,,无,,,Tue Mar 03 14:27:28 +0800 2026,读物博主,115,6,2
生成式AI,5272387223296193,说一下，微博关注我的朋友默认是手边有地球仪，懂得查看中西方主流新闻媒体，对中外历史至少有高中水平认知的，很多基础知识就不要再问我咋回事或者要我补充了。现在的生成式AI在知识梳理这一块做得还是不错的，有评论区大家都懂你不太懂的基础性问题问AI就好。 ,,无,,,Tue Mar 03 14:15:33 +0800 2026,微博新知博主 军事博主,799,5,67
生成式AI,5261089459143168,【#科学家称AI正导致人类文化停滞#，纯粹是已有数据的反复使用】生成式AI依赖于大量数据，之前这些内容大部分都是从互联网上随意抓取。然而，随着数据耗尽，AI不得不依赖AI本身生成的数据，这就形成了一个危险的闭合循环。最近，瑞典达拉纳大学的科学家发现，随着AI在闭环内不断循环迭代，最终输出的 ...全文,,无,"https://f.video.weibocdn.com/u0/P4Ychb7Ggx08uYkhAAZG01041200sAzw0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729642&ssig=cYZ2DGBFyK&KID=unistore,video",,Sat Jan 31 10:02:16 +0800 2026,微博原创视频博主 科学科普博主 好物发现官,2036,734,136
生成式AI,5273162432384981,Micro LED CPO横空出世！TrendForce点名“光进铜退”，数据中心迎来光电革命！3月5日，科技圈大地震！集邦咨询最新报告撕开真相：生成式AI狂飙，数据中心秒变“电老虎”。曾经称霸机柜的铜缆方案，因发热大、密度低，已彻底扛不住算力洪流，面临被淘汰的命运。救世主降临：Micro LED CPO！ 能耗暴跌9 ...全文,,https://wx3.sinaimg.cn/orj360/be6beeb5gy1iaw7ga5hevj20u01d3gvq.jpg,,,Thu Mar 05 17:35:57 +0800 2026,第一财经特约分析师 财经观察官 头条文章作者,38,6,12
生成式AI,5232576484608282,AI医疗 过去几年，生成式AI在蛋白折叠预测、临床试验模拟、基因编辑设计等方向持续取得突破，这类工具开始在研发体系内部打开新的价值空间。制药行业的下一轮增长，很可能来自AI反哺带来的估值重构。这意味着资本流向将发生迁移，AI时代真正的强势买家不是科技公司，而是生物科学公司。  ...全文,,无,"https://f.video.weibocdn.com/o0/zQFzbt0wlx08sWPyY5Og010412005cJx0E010.mp4?label=mp4_ld&template=360x640.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729642&ssig=bn84SRE2vs&KID=unistore,video",,Thu Nov 13 17:41:53 +0800 2025,AI医疗超话,231,55,18
生成式AI,5272317879386731,【#我国生成式人工智能用户超6亿人#】截至2025年12月，我国生成式人工智能用户达6.02亿人，较2024年底增长141.7%；普及率达42.8%，近年来，我国持续加强人工智能基础研究，人工智能研究论文的数量、质量均居于全球第一梯队。数据显示，#我国是全球人工智能专利最大拥有国#，占比高达60%。（人民日报） ...全文,,"https://wx2.sinaimg.cn/orj360/002uLDeXly1iateldy6mfj60eg0c1mzm02.jpg,https://wx4.sinaimg.cn/orj360/002uLDeXly1iateldyridj60eg0lf78002.jpg,https://wx1.sinaimg.cn/orj360/002uLDeXly1iateldygj1j60eg0fddhv02.jpg,https://wx2.sinaimg.cn/orj360/002uLDeXly1iateldyystj60eg0sin1l02.jpg,https://wx2.sinaimg.cn/orj360/002uLDeXly1iateldxwt6j60b407mmy602.jpg,https://wx4.sinaimg.cn/orj360/002uLDeXly1iateldxw3gj60b406e75602.jpg",,,Tue Mar 03 09:40:00 +0800 2026,人民网法人微博,40,37,34
生成式AI,5273253872142890,光学光电子+MicroLED，增长最快的10家公司。根据TrendForce最新调查，传统铜缆方案在传输密度与节能性方面已面临严峻挑战，难以满足下一代数据中心的发展需求。而MicroLED CPO方案凭借更低的单位传输能耗，可大幅降低整体能耗至铜缆方案的5%，有望凭节能优势成为光互连替代方案。值得关注的是，近日英 ...全文,,https://wx2.sinaimg.cn/orj360/006jdXqfgy1iawhwbz415j30sg0c440c.jpg,,,Thu Mar 05 23:39:18 +0800 2026,财经观察官 头条文章作者,7,0,6
生成式AI,5273249074385786,嘿嘿我也想扩fozfq抽三个9.9（也可以换成我给你oc写1-2k字短打）等我3.8晚上到浙江之后开（呃不限互关但是真的会有非互关想转吗！？）然后我会挨个来道谢的……！=Hibiki/響类型学|日常生活|oc|FF14|二游哇被很多棒属女孩转了那我其实喜欢吒3不过基本没在这个号追？！ ...全文,,"https://wx4.sinaimg.cn/orj360/008trAKrgy1iawhdhol5ej32s01e0e81.jpg,https://wx3.sinaimg.cn/orj360/008trAKrgy1iawhdi2w5lj30vk0hsadb.jpg,https://wx3.sinaimg.cn/orj360/008trAKrgy1iawhdirlvrj31120rutss.jpg",,,Thu Mar 05 23:20:14 +0800 2026,Android,4,26,11
